nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА И ДОРОЖНОГО ХОЗЯЙСТВА""";4705063078;"МБУ ""УБДХ""";470501001;Ленинградская обл;81.29.2;ACTIVE;Рящин Владимир Александрович;ДИРЕКТОР;3;несколько кандидатов, взят первый
"АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ";2721000410;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ;280143002;Амурская обл;;ACTIVE;;;1;один кандидат
МП 'Водоканал';3911000145;"МП ПУ ""ВОДОКАНАЛ""";391101001;Калининградская обл;37.00;ACTIVE;Демидов Дмитрий Владимирович;ДИРЕКТОР;5;несколько кандидатов, взят первый
Войсковая часть 54985;4022000690;ВОЙСКОВАЯ ЧАСТЬ 54985;402201001;Калужская обл;84.24;ACTIVE;Лиманский Константин Евгеньевич;КОМАНДИР ЧАСТИ;1;один кандидат
"ПАО ""ППГХО""";7530000048;"ПАО ""ППГХО""";753001001;Забайкальский край;20.13;ACTIVE;Киселев Иван Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
"федеральное государственное казенное учреждение ""Пограничное управление Федеральной службы безопасности Российской Федерации по Забайкальскому краю""";7536061093;ПУ ФСБ РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ;753601001;Забайкальский край;84.24;ACTIVE;Голубицкий Роман Николаевич;НАЧАЛЬНИК УПРАВЛЕНИЯ;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 25 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ""";7404027378;ФКУ ИК-25 ГУФСИН РОССИИ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;740401001;Челябинская обл;84.23.4;ACTIVE;Петров Михаил Ефимович;НАЧАЛЬНИК;1;один кандидат
"МУП ""ТЕПЛОЭНЕРГО""";7610044403;"МУП ""ТЕПЛОЭНЕРГО""";761001001;Ярославская обл;82.11;ACTIVE;Шаров Олег Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
АДМИНИСТРАЦИЯ ОЗЕРСКОГО ГОРОДСКОГО ОКРУГА ЧЕЛЯБИНСКОЙ ОБЛАСТИ;7422000403;АДМИНИСТРАЦИЯ ОЗЕРСКОГО ГОРОДСКОГО ОКРУГА;741301001;Челябинская обл;84.11.35;ACTIVE;Гергенрейдер Сергей Николаевич;ГЛАВА ОЗЕРСКОГО ГОРОДСКОГО ОКРУГА ЧЕЛЯБИНСКОЙ ОБЛАСТИ;1;один кандидат
АДМИНИСТРАЦИЯ КУЩЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КУЩЕВСКОГО РАЙОНА;2340017372;АДМИНИСТРАЦИЯ КУЩЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КУЩЕВСКОГО РАЙОНА;234001001;Краснодарский край;84.11.31;ACTIVE;Фирсов Евгений Михайлович;ГЛАВА КУЩЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КУЩЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА КРАСНОДАРСКОГО КРАЯ;5;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";6627012077;"УМП ""ВОДОКАНАЛ""";668401001;Свердловская обл;36.00.2;ACTIVE;Шуреков Дмитрий Андреевич;ДИРЕКТОР;5;несколько кандидатов, взят первый
ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ПЕРМСКО;5902293442;ГЛАВНОЕ УПРАВЛЕНИЕ МЧС РОССИИ ПО ПЕРМСКОМУ КРАЮ;590201001;Пермский край;84.25.1;ACTIVE;Урусов Александр Валерьевич;НАЧАЛЬНИК;2;несколько кандидатов, взят первый
"ПАО ""Иркутскэнерго""";3808038191;"ППО ПАО ""ИРКУТСКЭНЕРГО""";380801001;Иркутская обл;94.20;LIQUIDATED;Майданов Евгений Михайлович;Председатель профсоюзного комитета;1;один кандидат
"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Иркутский государственный технический университет""";;;;;;;;;;кандидатов нет
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНОЕ ИСПРАВИТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТУЛЬСКОЙ ОБЛАСТИ""";7107040584;ФКУ ЛИУ-3 УФСИН РОССИИ ПО ТУЛЬСКОЙ ОБЛАСТИ;710701001;Тульская обл;84.23.4;ACTIVE;Минаков Максим Геннадьевич;ВРИО НАЧАЛЬНИКА;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТУЛЬСКОЙ ОБЛАСТИ""";7114005823;ФКУ ИК-1 УФСИН РОССИИ ПО ТУЛЬСКОЙ ОБЛАСТИ;711401001;Тульская обл;14.12;ACTIVE;Давыденко Иван Васильевич;НАЧАЛЬНИК УЧРЕЖДЕНИЯ;1;один кандидат
АДМИНИСТРАЦИЯ БОЛОТНИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;5413111417;АДМИНИСТРАЦИЯ БОЛОТНИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;541301001;Новосибирская обл;84.11.33;ACTIVE;Королёв Олег Валерьевич;ГЛАВА БОЛОТНИНСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;5;несколько кандидатов, взят первый
"ГКУ ""ВОЛГОСПАС""";3015025275;"ГКУ ""ВОЛГОСПАС""";302501001;Астраханская обл;84.25.1;ACTIVE;Меретин Александр Федорович;НАЧАЛЬНИК;1;один кандидат
КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ И ЗЕМЕЛЬНЫМ ОТНОШЕНИЯМ МИНЬЯРСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;7401010827;"""КУМИ И ЗО Г.МИНЬЯР""";745701001;Челябинская обл;84.11.32;LIQUIDATING;Грачёва Марина Геннадьевна;ПРЕДСЕДАТЕЛЬ ЛИКВИДАЦИОННОЙ КОМИССИИ;1;один кандидат
УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АДМИНИСТРАЦИИ АРТЕМОВСКОГО ГОРОДСКОГО ОКРУГА;2502030316;УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ;250201001;Приморский край;75.11.31;LIQUIDATED;Барышников Олег Аркадьевич;председатель ликвидационной комиссии;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 26 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ""";6367080298;ФКУ ИК-26 УФСИН РОССИИ ПО САМАРСКОЙ ОБЛАСТИ;636701001;Самарская обл;84.23.4;ACTIVE;Агаларов Олег Муслимович;НАЧАЛЬНИК;1;один кандидат
ООО «СЭД»;2302036840;"ООО ""СЭД""";230201001;Краснодарский край;46.72;ACTIVE;Арутюнян Саргис Азатович;ДИРЕКТОР;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 17 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САРАТОВСКОЙ ОБЛАСТИ""";6445002973;ФКУ ИК-17 УФСИН РОССИИ ПО САРАТОВСКОЙ ОБЛАСТИ;644501001;Саратовская обл;84.23.4;ACTIVE;Войкин Александр Сергеевич;НАЧАЛЬНИК;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛЕДСТВЕННЫЙ ИЗОЛЯТОР № 4 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ""";6323072941;ФКУ СИЗО-4 УФСИН РОССИИ ПО САМАРСКОЙ ОБЛАСТИ;632401001;Самарская обл;84.23.4;ACTIVE;Романюк Сергей Сергеевич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ НАЧАЛЬНИКА;1;один кандидат
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР КОМПЕТЕНЦИИ В СФЕРЕ БУХГАЛТЕРСКОГО УЧЕТА И ЗАКУПОК"" ЕЛЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА";;;;;;;;;;кандидатов нет
ЦЕНТР ОБЕСПЕЧЕНИЯ И УПРАВЛЕНИЯ ВРЕМЕННОЙ ОПЕРАТИВНОЙ ГРУППИРОВКИ ОРГАНОВ И ПОДРАЗДЕЛЕНИЙ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ (ЦОУ ВОГОИП МВД РОССИИ;2632098795;ЦЕНТР ОБЕСПЕЧЕНИЯ И УПРАВЛЕНИЯ ВРЕМЕННОЙ ОПЕРАТИВНОЙ ГРУППИРОВКИ ОРГАНОВ И ПОДРАЗДЕЛЕНИЙ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СЕВЕРО-КАВКАЗСКОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ (ЦОУ ВОГОИП МВД РОССИИ ГУ МВД РОССИИ ПО СКФО);151043001;Респ Северная Осетия - Алания;;ACTIVE;;;2;несколько кандидатов, взят первый
"АО ""ВНИИХТ""";7724675770;"АО ""ВНИИХТ""";772001001;г Москва;72.19;LIQUIDATED;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ НАУКА""";;2;несколько кандидатов, взят первый
УПРАВЛЕНИЕ ПО ЗЕМЕЛЬНЫМ РЕСУРСАМ И МУНИЦИПАЛЬНОМУ ИМУЩЕСТВУ АДМИНИСТРАЦИИ БЕЛОВСКОГО ГОРОДСКОГО ОКРУГА;4202051608;УЗРМИ АБГО;420201001;Кемеровская область - Кузбасс;84.11.35;ACTIVE;Бабенков Кирилл Васильевич;НАЧАЛЬНИК УПРАВЛЕНИЯ;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОБЛАСТНАЯ БОЛЬНИЦА УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ""";2901067773;ФКУ ОБ УФСИН РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;290101001;Архангельская обл;84.23.4;ACTIVE;Усынин Александр Павлович;НАЧАЛЬНИК УЧРЕЖДЕНИЯ;1;один кандидат
АДМИНИСТРАЦИЯ НОВОСИЛЬСКОГО РАЙОНА ОРЛОВСКОЙ ОБЛАСТИ;5719000190;АДМИНИСТРАЦИЯ НОВОСИЛЬСКОГО РАЙОНА ОРЛОВСКОЙ ОБЛАСТИ;571901001;Орловская обл;84.11.33;ACTIVE;Демин Евгений Николаевич;ГЛАВА НОВОСИЛЬСКОГО РАЙОНА;5;несколько кандидатов, взят первый
АДМИНИСТРАЦИЯ ГОРОДА ЧУЛЫМА ЧУЛЫМСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;5442101043;АДМИНИСТРАЦИЯ ГОРОДА ЧУЛЫМА ЧУЛЫМСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;544201001;Новосибирская обл;84.11.32;ACTIVE;Степанов Андрей Николаевич;ГЛАВА ГОРОДА ЧУЛЫМА ЧУЛЫМСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;1;один кандидат
"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК НИЖНИЙ БАСКУНЧАК""";3001008294;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК НИЖНИЙ БАСКУНЧАК""";300101001;Астраханская обл;84.11.32;ACTIVE;Кушаналиев Ерлан Махметович;"ГЛАВА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ПОСЕЛОК НИЖНИЙ БАСКУНЧАК""";1;один кандидат
"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЕЛЕЦВОДОКАНАЛ""";4821002037;"ОГУП ""ЕЛЕЦВОДОКАНАЛ""";482101001;Липецкая обл;36.00.1;ACTIVE;Вепрев Александр Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ АРТЕМОВСКОГО ГОРОДСКОГО ОКРУГА;6602002670;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ;667701001;Свердловская обл;84.11.3;LIQUIDATED;Юсупова Валентина Александровна;ПРЕДСЕДАТЕЛЬ;1;один кандидат
ФИНАНСОВЫЙ ОТДЕЛ АДМИНИСТРАЦИИ ЗЛЫНКОВСКОГО РАЙОНА;3213001036;ФИНАНСОВЫЙ ОТДЕЛ;324101001;Брянская обл;84.11.33;ACTIVE;Чунина Наталья Николаевна;ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ЗАМЕСТИТЕЛЯ ГЛАВЫ АДМИНИСТРАЦИИ РАЙОНА-НАЧАЛЬНИКА ФИНАНСОВОГО ОТДЕЛА АДМИНИСТРАЦИИ ЗЛЫНКОВСКОГО РАЙОНА;1;один кандидат
"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""КАШАРСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""";6115000921;"ГБУСОН РО ""КАШАРСКИЙ ПНИ""";611501001;Ростовская обл;87.30;ACTIVE;Рыбас Сергей Иванович;ДИРЕКТОР;1;один кандидат
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КАЛИНИНГРАДСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА (СТАЦИОНАР) СПЕЦИАЛИЗИРОВАННОГО ТИПА С ИНТЕНСИВНЫМ НАБЛЮДЕНИЕМ"" МИНИСТЕРСТВА ЗДРАВООХР";3914008752;"ФКУ ""КАЛИНИНГРАДСКАЯ ПБСТИН"" МИНЗДРАВА РОССИИ";391401001;Калининградская обл;86.10;ACTIVE;Дронов Павел Сергеевич;ГЛАВНЫЙ ВРАЧ;2;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";8602016725;"СГМУП ""ГВК""";860201001;Ханты-Мансийский Автономный округ - Югра;37.00;ACTIVE;Бондаренко Григорий Анатольевич;ДИРЕКТОР;5;несколько кандидатов, взят первый
СОЛЬ-ИЛЕЦКОЕ МУНИЦИПАЛЬНОЕ МНОГООТРАСЛЕВОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА;5646000558;СОЛЬ-ИЛЕЦКОЕ ММПП ЖКХ;564601001;Оренбургская обл;35.30.14;ACTIVE;Куликов Михаил Александрович;ДИРЕКТОР;1;один кандидат
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОПРОВОДНО-КАНАЛИЗАЦИОННОЕ ХОЗЯЙСТВО"" ГОРОДСКОГО ОКРУГА - ГОРОД ВОЛЖСКИЙ ВОЛГОГРАДСКОЙ ОБЛАСТИ";3435000932;"МУП ""ВОДОКАНАЛ""";343501001;Волгоградская обл;36.00.2;ACTIVE;Орлов Юрий Викторович;ДИРЕКТОР;1;один кандидат
"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЯРЦЕВСКИЙ РАЙОН"" СМОЛЕНСКОЙ ОБЛАСТИ";6727004489;АДМИНИСТРАЦИЯ КАПЫРЕВЩИНСКОГО СЕЛЬСКОГО ОКРУГА;672701001;Смоленская обл;;LIQUIDATED;Гращенков Константин Александрович;Глава сельской администрации;5;несколько кандидатов, взят первый
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ МУРАШИНСКОЕ ГОРОДСКОЕ ПОСЕЛЕНИЕ МУРАШИНСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ;4318003392;АДМИНИСТРАЦИЯ МУРАШИНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;431801001;Кировская обл;84.11.35;LIQUIDATED;Чудиновских Светлана Васильевна;ПРЕДСЕДАТЕЛЬ ЛИКВИДАЦИОННОЙ КОМИССИИ;1;один кандидат
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ""КОРОЧАНСКОЕ""";3110011650;"МУП ЖКХ ""КОРОЧАНСКОЕ-СЕРВИС""";311001001;Белгородская обл;36.00.2;LIQUIDATED;Спильник Виктор Иванович;ДИРЕКТОР;1;один кандидат
АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ГОРОДА СУРОВИКИНО;3430008085;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ Г. СУРОВИКИНО;343001001;Волгоградская обл;84.11.32;ACTIVE;Кудлаева Елена Федоровна;ГЛАВА АДМИНИСТРАЦИИ;1;один кандидат
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 70822""";2720017555;"ФГКУ ""В/Ч 70822""";272001001;Хабаровский край;84.24;ACTIVE;Мешалкин Александр Юрьевич;РУКОВОДИТЕЛЬ УЧРЕЖДЕНИЯ;1;один кандидат
АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ РЯЗАНОВСКОЕ;7310100382;"АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РЯЗАНОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" МЕЛЕКЕССКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ";731001001;Ульяновская обл;84.11.31;ACTIVE;Михайловская Татьяна Евгеньевна;ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЛАВЫ АДМИНИСТРАЦИИ;2;несколько кандидатов, взят первый
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕНЗЕНСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭЛЕКТРОПРИБОР""";5835094992;"АО ""ПО ""ЭЛЕКТРОПРИБОР""";583501001;Пензенская обл;26.30.11;ACTIVE;Трошин Алексей Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Кунгурский"" (реализующий задачи и функции органов внутренних дел на территории Кунгурск";;;;;;;;;;кандидатов нет
"ФEДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ КАРДИОЛОГИЧЕСКИЙ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИ";;;;;;;;;;кандидатов нет
ООО «ИнвестПроект»;7731585485;"ООО ""ИНВЕСТПРОЕКТ""";773101001;г Москва;68.31;ACTIVE;Майорова Екатерина Викторовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"государственное казенное учреждение здравоохранения Свердловской области ""Специализированный дом ребенка""";;;;;;;;;;кандидатов нет
Герб  Александр  Викторович;771576390570;ИП Герб Александр Викторович;;Московская обл;69.10;ACTIVE;;;5;несколько кандидатов, взят первый
"Администрация муниципального образования ""Город Глазов""";1829007602;АДМИНИСТРАЦИЯ ГОРОДА ГЛАЗОВА;183701001;Удмуртская Респ;84.11.35;ACTIVE;Коновалов Сергей Николаевич;"ГЛАВА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДСКОЙ ОКРУГ ""ГОРОД ГЛАЗОВ"" УДМУРТСКОЙ РЕСПУБЛИКИ""";1;один кандидат
"ООО ""ЛУКОЙЛ-Ростовэнерго""";6164288981;"ООО ""ЛУКОЙЛ-РОСТОВЭНЕРГО""";616301001;Ростовская обл;35.30.11;ACTIVE;Филиппов Андрей Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;"отсеяно спутников: 1; один кандидат"
"АО ""КВАДРА""";7810683950;"АО ""КВАДРА ЛОДЖИК""";780401001;г Санкт-Петербург;71.12.12;ACTIVE;Ярыгин Алексей Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;несколько кандидатов, взят первый
Федеральная служба охраны Российской Федерации;7704055094;ФСО РОССИИ;770401001;г Москва;84.24;ACTIVE;Кочнев Дмитрий Викторович;ДИРЕКТОР;1;один кандидат
"АО ""Югорский лесопромышленный холдинг""";8601022074;"АО ""ЮГОРСКИЙ ЛЕСОПРОМЫШЛЕННЫЙ ХОЛДИНГ""";860101001;Ханты-Мансийский Автономный округ - Югра;16.21.12;ACTIVE;Краев Юрий Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
МИНИСТЕРСТВО РАЗВИТИЯ КОНКУРЕНЦИИ И ЭКОНОМИКИ УЛЬЯНОВСКОЙ ОБЛАСТИ;;;;;;;;;;кандидатов нет
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. ЧЕЛЯБИНС";7453215984;"ФГБУ ""ФЦССХ"" МИНЗДРАВА РОССИИ (Г. ЧЕЛЯБИНСК)";745301001;Челябинская обл;86.10;ACTIVE;Лукин Олег Павлович;ГЛАВНЫЙ ВРАЧ;1;один кандидат
"АО ""ПРОМИНН""";7725524660;"АО ""ПРОМИНН""";772401001;г Москва;63.11.9;ACTIVE;Лыков Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"ООО ""АРМЗ СЕРВИС""";7708671295;"ООО ""АРМЗ СЕРВИС""";770901001;г Москва;70.22;ACTIVE;Савченко Эдуард Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
"ООО ""АРГОН""";6454074501;"ООО ""АРГОН""";643901001;Саратовская обл;23.99;ACTIVE;Сорокоумов Иван Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИНСТИТУТ ПРИКЛАДНОЙ ФИЗИКИ РОССИЙСКОЙ АКАДЕМИИ НАУК""";5260003387;ИПФ РАН;526001001;Нижегородская обл;72.19.9;ACTIVE;Денисов Григорий Геннадьевич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ДИРЕКТОРА УЧРЕЖДЕНИЯ;1;один кандидат
Комитет по вопросам законности, правопорядка и безопасности;7842005651;КОМИТЕТ ПО ВОПРОСАМ ЗАКОННОСТИ, ПРАВОПОРЯДКА И БЕЗОПАСНОСТИ;784201001;г Санкт-Петербург;84.11.21;ACTIVE;Голомбиевский Андрей Дмитриевич;ПРЕДСЕДАТЕЛЬ КОМИТЕТА;1;один кандидат
"АО ""ЧЭМК""";7447010227;"АО ""ЧЭМК""";744701001;Челябинская обл;24.10.12;ACTIVE;Попков Вячеслав Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
Симакин Виталий Геннадьевич;343605508705;ИП Симакин Виталий Геннадьевич;;Волгоградская обл;47.99.1;LIQUIDATED;;;5;несколько кандидатов, взят первый
"ФГУП ""КОМБИНАТ ""ЭЛЕКТРОХИМПРИБОР""";6630002336;"ФГУП ""КОМБИНАТ ""ЭЛЕКТРОХИМПРИБОР""";668101001;Свердловская обл;20.51;ACTIVE;Жамилов Сергей Альбертович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
